ns "trace A [ADC]" "trace B [ADC]"
30875 -1864.225806451613 -1882.9193548387098
30876 -1864.236559139785 -1882.9623655913979
30877 -1864.236559139785 -1882.8440860215053
30878 -1864.0860215053763 -1882.763440860215
30880 -1864.467741935484 -1883.0591397849462
30881 -1864.510752688172 -1882.494623655914
30882 -1864.483870967742 -1882.1881720430108
30883 -1863.989247311828 -1882.3602150537633
30885 -1864.1505376344087 -1882.225806451613
30886 -1864.0967741935483 -1882.3225806451612
30887 -1864.279569892473 -1882.4408602150538
30888 -1864.5967741935483 -1881.9569892473119
30890 -1864.2903225806451 -1881.6182795698924
30891 -1863.8978494623657 -1881.9301075268818
30892 -1864.3602150537633 -1881.9247311827958
30893 -1863.97311827957 -1882.3494623655913
30895 -1863.97311827957 -1881.8118279569892
30896 -1863.989247311828 -1881.763440860215
30897 -1863.7043010752689 -1881.8279569892472
30898 -1863.8172043010752 -1881.8978494623657
30900 -1863.9247311827958 -1881.779569892473
30901 -1863.752688172043 -1882.0537634408602
30902 -1863.9462365591398 -1881.9462365591398
30903 -1863.763440860215 -1881.978494623656
30905 -1863.7956989247311 -1882.1827956989248
30906 -1863.6827956989248 -1882.3440860215053
30907 -1863.8172043010752 -1882.3978494623657
30908 -1863.52688172043 -1882.3172043010752
30910 -1863.8978494623657 -1882.3172043010752
30911 -1863.6989247311828 -1882.284946236559
30912 -1863.7096774193549 -1882.3118279569892
30913 -1863.715053763441 -1882.236559139785
30915 -1863.9247311827958 -1881.978494623656
30916 -1863.3494623655913 -1882.1290322580646
30917 -1863.8279569892472 -1882.0698924731182
30918 -1863.1505376344087 -1881.784946236559
30920 -1863.1774193548388 -1881.7096774193549
30921 -1862.9623655913979 -1881.5913978494623
30922 -1863.0698924731182 -1881.3225806451612
30923 -1862.8279569892472 -1881.6666666666667
30925 -1863.1559139784947 -1881.5430107526881
30926 -1863.0 -1881.0483870967741
30927 -1862.8817204301076 -1880.763440860215
30928 -1863.02688172043 -1880.8440860215053
30930 -1862.989247311828 -1880.8817204301076
30931 -1862.8655913978494 -1880.9354838709678
30932 -1863.032258064516 -1880.6720430107528
30933 -1862.3548387096773 -1880.3010752688172
30935 -1862.3225806451612 -1880.1505376344087
30936 -1862.510752688172 -1880.4462365591398
30937 -1862.8010752688172 -1880.3225806451612
30938 -1862.3333333333333 -1880.252688172043
30940 -1862.252688172043 -1880.3225806451612
30941 -1862.0537634408602 -1880.225806451613
30942 -1861.8333333333333 -1879.97311827957
30943 -1861.720430107527 -1880.1505376344087
30945 -1861.6881720430108 -1880.1182795698924
30946 -1861.0430107526881 -1880.236559139785
30947 -1861.3172043010752 -1880.1505376344087
30948 -1861.0 -1879.8870967741937
30950 -1860.8870967741937 -1879.8010752688172
30951 -1860.8333333333333 -1879.5752688172042
30952 -1860.6397849462367 -1879.4301075268818
30953 -1860.52688172043 -1879.6021505376343
30955 -1860.4032258064517 -1879.3548387096773
30956 -1860.3440860215053 -1878.9354838709678
30957 -1860.494623655914 -1879.016129032258
30958 -1860.1935483870968 -1878.989247311828
30960 -1860.3548387096773 -1878.8387096774193
30961 -1859.8440860215053 -1878.758064516129
30962 -1859.725806451613 -1878.6397849462367
30963 -1860.0430107526881 -1878.478494623656
30965 -1860.3387096774193 -1878.3333333333333
30966 -1859.994623655914 -1878.3172043010752
30967 -1859.784946236559 -1878.263440860215
30968 -1859.8709677419354 -1878.4032258064517
30970 -1860.3118279569892 -1878.0645161290322
30971 -1860.1612903225807 -1877.8225806451612
30972 -1860.521505376344 -1877.8118279569892
30973 -1859.8548387096773 -1877.9086021505377
30975 -1859.7956989247311 -1877.7096774193549
30976 -1859.6612903225807 -1877.8494623655913
30977 -1859.720430107527 -1877.8817204301076
30978 -1859.2096774193549 -1877.7043010752689
30980 -1860.016129032258 -1877.8924731182797
30981 -1859.8548387096773 -1877.9516129032259
30982 -1859.8763440860216 -1877.8118279569892
30983 -1859.4086021505377 -1877.967741935484
30985 -1859.3548387096773 -1877.8602150537633
30986 -1859.9408602150538 -1877.5860215053763
30987 -1860.52688172043 -1878.0483870967741
30988 -1860.3064516129032 -1877.9462365591398
30990 -1860.3225806451612 -1877.731182795699
30991 -1859.8279569892472 -1878.016129032258
30992 -1860.274193548387 -1877.8978494623657
30993 -1860.2096774193549 -1878.0698924731182
30995 -1860.763440860215 -1877.9623655913979
30996 -1860.978494623656 -1877.8333333333333
30997 -1861.0645161290322 -1877.9408602150538
30998 -1860.231182795699 -1878.2043010752689
31000 -1860.779569892473 -1878.258064516129
31001 -1860.6989247311828 -1878.1720430107528
31002 -1860.741935483871 -1878.0752688172042
31003 -1860.284946236559 -1878.274193548387
31005 -1860.7903225806451 -1878.6612903225807
31006 -1860.758064516129 -1878.7903225806451
31007 -1861.516129032258 -1878.5806451612902
31008 -1861.0806451612902 -1878.494623655914
31010 -1861.3279569892472 -1878.731182795699
31011 -1861.2903225806451 -1878.8978494623657
31012 -1861.3225806451612 -1879.2043010752689
31013 -1860.8118279569892 -1879.516129032258
31015 -1861.225806451613 -1879.2903225806451
31016 -1860.983870967742 -1879.252688172043
31017 -1860.978494623656 -1879.274193548387
31018 -1861.516129032258 -1879.521505376344
31020 -1861.6397849462367 -1879.483870967742
31021 -1861.489247311828 -1879.483870967742
31022 -1861.8172043010752 -1879.3548387096773
31023 -1861.7096774193549 -1879.5430107526881
31025 -1862.1989247311828 -1879.6827956989248
31026 -1862.1559139784947 -1879.715053763441
31027 -1862.284946236559 -1879.6935483870968
31028 -1861.9516129032259 -1879.97311827957
31030 -1862.4354838709678 -1879.967741935484
31031 -1862.3763440860216 -1880.1451612903227
31032 -1862.4623655913979 -1880.279569892473
31033 -1862.225806451613 -1880.0430107526881
31035 -1862.3118279569892 -1879.8817204301076
31036 -1861.9086021505377 -1880.3494623655913
31037 -1862.3225806451612 -1880.1612903225807
31038 -1862.5591397849462 -1880.3333333333333
31040 -1862.8870967741937 -1880.4193548387098
31041 -1862.983870967742 -1880.4516129032259
31042 -1863.1182795698924 -1880.5645161290322
31043 -1862.7043010752689 -1880.9301075268818
31045 -1863.0967741935483 -1880.736559139785
31046 -1862.994623655914 -1880.532258064516
31047 -1862.8225806451612 -1880.9462365591398
31048 -1862.9462365591398 -1881.4193548387098
31050 -1863.1129032258063 -1881.478494623656
31051 -1862.774193548387 -1881.467741935484
31052 -1863.1559139784947 -1881.4247311827958
31053 -1862.752688172043 -1881.5806451612902
31055 -1862.6720430107528 -1881.6451612903227
31056 -1862.3548387096773 -1881.6989247311828
31057 -1862.3763440860216 -1881.521505376344
31058 -1861.6290322580646 -1881.3118279569892
31060 -1861.478494623656 -1881.1881720430108
31061 -1860.9247311827958 -1880.8387096774193
31062 -1860.505376344086 -1880.2903225806451
31063 -1860.274193548387 -1880.1935483870968
31065 -1860.220430107527 -1879.6182795698924
31066 -1859.1827956989248 -1879.47311827957
31067 -1859.3602150537633 -1878.5967741935483
31068 -1859.3440860215053 -1878.3333333333333
31070 -1859.478494623656 -1877.9408602150538
31071 -1859.8225806451612 -1877.725806451613
31072 -1860.1129032258063 -1877.6720430107528
31073 -1859.1827956989248 -1877.6505376344087
31075 -1859.3817204301076 -1877.510752688172
31076 -1859.0752688172042 -1877.258064516129
31077 -1858.6774193548388 -1877.247311827957
31078 -1858.1344086021506 -1877.0913978494623
31080 -1857.9193548387098 -1877.0645161290322
31081 -1856.1021505376343 -1877.0645161290322
31082 -1854.5 -1876.4354838709678
31083 -1850.4462365591398 -1875.8602150537633
31085 -1844.97311827957 -1874.510752688172
31086 -1836.1344086021506 -1872.715053763441
31087 -1823.1451612903227 -1869.5537634408602
31088 -1804.4623655913979 -1864.1505376344087
31090 -1777.6720430107528 -1855.4032258064517
31091 -1743.3602150537633 -1842.0376344086021
31092 -1705.3870967741937 -1823.4408602150538
31093 -1659.215053763441 -1797.9462365591398
31095 -1605.6236559139784 -1764.758064516129
31096 -1552.032258064516 -1724.8225806451612
31097 -1499.5483870967741 -1679.010752688172
31098 -1452.483870967742 -1628.6612903225807
31100 -1413.8548387096773 -1575.494623655914
31101 -1379.6720430107528 -1523.241935483871
31102 -1350.8172043010752 -1474.8978494623657
31103 -1324.0430107526881 -1432.8333333333333
31105 -1299.258064516129 -1395.5591397849462
31106 -1274.0860215053763 -1364.0698924731182
31107 -1243.6451612903227 -1336.2956989247311
31108 -1210.8978494623657 -1310.994623655914
31110 -1178.3548387096773 -1286.4247311827958
31111 -1135.279569892473 -1259.4516129032259
31112 -1085.5752688172042 -1227.252688172043
31113 -1035.8655913978494 -1190.967741935484
31115 -982.3494623655914 -1148.3548387096773
31116 -917.9086021505376 -1100.4516129032259
31117 -852.494623655914 -1048.215053763441
31118 -784.8709677419355 -990.2741935483871
31120 -712.0215053763441 -927.5537634408602
31121 -637.9731182795699 -861.3548387096774
31122 -569.3548387096774 -790.6666666666666
31123 -508.44086021505376 -718.2204301075269
31125 -462.86021505376345 -645.8924731182796
31126 -426.9139784946237 -575.7258064516129
31127 -395.38709677419354 -511.3333333333333
31128 -383.28494623655916 -458.31182795698925
31130 -380.2741935483871 -417.13978494623655
31131 -385.63440860215053 -388.23655913978496
31132 -402.7903225806452 -372.2204301075269
31133 -417.7795698924731 -367.76881720430106
31135 -428.741935483871 -370.1290322580645
31136 -443.741935483871 -379.26881720430106
31137 -458.26344086021504 -392.2043010752688
31138 -473.0483870967742 -406.741935483871
31140 -484.90860215053766 -422.14516129032256
31141 -484.69354838709677 -436.4569892473118
31142 -487.1290322580645 -448.0483870967742
31143 -489.46774193548384 -457.9032258064516
31145 -483.59139784946234 -464.4193548387097
31146 -480.8494623655914 -467.9462365591398
31147 -476.7043010752688 -467.59139784946234
31148 -466.2956989247312 -464.76881720430106
31150 -453.8763440860215 -458.5967741935484
31151 -436.4032258064516 -448.7795698924731
31152 -418.2258064516129 -436.0483870967742
31153 -393.48924731182797 -421.53225806451616
31155 -367.9516129032258 -403.97849462365593
31156 -346.76344086021504 -385.06451612903226
31157 -317.33870967741933 -364.88709677419354
31158 -272.741935483871 -341.3225806451613
31160 -221.7688172043011 -312.9516129032258
31161 -162.98387096774192 -279.505376344086
31162 -90.95698924731182 -239.58064516129033
31163 -12.89247311827957 -191.53225806451613
31165 71.38172043010752 -133.3279569892473
31166 165.51075268817203 -64.51075268817205
31167 269.4569892473118 14.935483870967742
31168 373.3817204301075 101.91935483870968
31170 462.98387096774195 193.01075268817203
31171 538.3602150537635 285.18279569892474
31172 598.3548387096774 374.19354838709677
31173 644.5537634408602 455.1182795698925
31175 668.1129032258065 526.1397849462365
31176 670.252688172043 582.9731182795699
31177 657.5537634408602 623.5967741935484
31178 625.4623655913979 649.3387096774194
31180 578.9032258064516 660.0806451612904
31181 526.505376344086 655.3064516129032
31182 470.55913978494624 636.9139784946236
31183 408.81182795698925 606.3064516129032
31185 336.26881720430106 567.5
31186 272.03225806451616 522.3655913978495
31187 219.58064516129033 472.8494623655914
31188 168.7258064516129 420.80645161290323
31190 117.72043010752688 367.03225806451616
31191 72.08602150537635 313.13978494623655
31192 28.129032258064516 261.0483870967742
31193 -1.3172043010752688 211.3978494623656
31195 -17.473118279569892 166.6021505376344
31196 -29.397849462365592 127.76344086021506
31197 -32.63978494623656 96.13440860215054
31198 -31.370967741935484 72.39784946236558
31200 -27.311827956989248 55.96774193548387
31201 -17.177419354838708 46.31182795698925
31202 -6.349462365591398 43.946236559139784
31203 -0.9838709677419355 48.56989247311828
31205 12.731182795698924 57.483870967741936
31206 32.59139784946237 67.36021505376344
31207 38.973118279569896 80.05376344086021
31208 44.0 93.6774193548387
31210 48.354838709677416 105.66666666666667
31211 46.75268817204301 115.47311827956989
31212 48.54838709677419 124.51075268817205
31213 52.026881720430104 130.6720430107527
31215 48.55913978494624 134.98387096774192
31216 45.19892473118279 137.7258064516129
31217 40.18817204301075 137.44623655913978
31218 30.317204301075268 134.50537634408602
31220 13.806451612903226 131.22043010752688
31221 1.5806451612903225 125.21505376344086
31222 -4.263440860215054 117.13978494623656
31223 -13.516129032258064 109.06989247311827
31225 -29.79032258064516 101.6774193548387
31226 -44.344086021505376 93.15053763440861
31227 -58.77956989247312 83.85483870967742
31228 -81.0752688172043 73.05913978494624
31230 -117.10752688172043 60.10215053763441
31231 -164.16666666666666 41.77956989247312
