
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_2_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 24655 -19.55  i
 24656 -21.35  i
 24657 -19.55  i
 24658 -19.7  i
 24660 -19.5  i
 24661 -19.55  i
 24662 -19  i
 24663 -20.45  i
 24665 -19.3  i
 24666 -20.2  i
 24667 -19.65  i
 24668 -20.3  i
 24670 -19.55  i
 24671 -20.3  i
 24672 -19.3  i
 24673 -20.05  i
 24675 -20  i
 24676 -20.85  i
 24677 -19.9  i
 24678 -21  i
 24680 -19.95  i
 24681 -20.45  i
 24682 -19.55  i
 24683 -20.45  i
 24685 -19.15  i
 24686 -20.65  i
 24687 -20.2  i
 24688 -20.75  i
 24690 -20.1  i
 24691 -21.3  i
 24692 -20.35  i
 24693 -20.5  i
 24695 -19  i
 24696 -19.75  i
 24697 -19  i
 24698 -19.5  i
 24700 -18.85  i
 24701 -18.7  i
 24702 -17.9  i
 24703 -19.15  i
 24705 -18.9  i
 24706 -19.9  i
 24707 -18.65  i
 24708 -19.8  i
 24710 -19.05  i
 24711 -19.85  i
 24712 -19.3  i
 24713 -19.6  i
 24715 -18.45  i
 24716 -20.05  i
 24717 -19.4  i
 24718 -19.4  i
 24720 -18.05  i
 24721 -18.85  i
 24722 -17.95  i
 24723 -19  i
 24725 -18  i
 24726 -18.3  i
 24727 -18.25  i
 24728 -19.3  i
 24730 -18.9  i
 24731 -19.25  i
 24732 -18.8  i
 24733 -19.15  i
 24735 -19.05  i
 24736 -20.1  i
 24737 -19.1  i
 24738 -18.95  i
 24740 -19.1  i
 24741 -19.25  i
 24742 -18.75  i
 24743 -19.55  i
 24745 -18.75  i
 24746 -20.25  i
 24747 -19.2  i
 24748 -19.7  i
 24750 -19.35  i
 24751 -19.5  i
 24752 -19.2  i
 24753 -20.15  i
 24755 -19.35  i
 24756 -19.65  i
 24757 -19.25  i
 24758 -19.9  i
 24760 -19  i
 24761 -19.5  i
 24762 -18.9  i
 24763 -19.8  i
 24765 -19.85  i
 24766 -19.75  i
 24767 -18.7  i
 24768 -19.75  i
 24770 -18.55  i
 24771 -18.95  i
 24772 -18.55  i
 24773 -19.9  i
 24775 -18.8  i
 24776 -20.2  i
 24777 -19.15  i
 24778 -19.55  i
 24780 -19.35  i
 24781 -20.5  i
 24782 -19.25  i
